Description,Language,dependecies_found
finite element analysis for continuum mechanics of solid bodies,Python,"[""contique"", ""einsumt"", ""h5py"", ""imageio"", ""jax"", ""matplotlib"", ""meshio"", ""numpy"", ""pydata-sphinx-theme"", ""pypandoc"", ""pypardiso"", ""scipy"", ""sphinx-autoapi"", ""sphinx-copybutton"", ""sphinx-design"", ""sphinx-gallery"", ""sphinx-inline-tabs"", ""tensortrax"", ""torch"", ""tqdm""]"
"Construct, optimize Boolean models and perform in-silico perturbations of the models.",Jupyter Notebook,[]
Interactive tools for the visualization and analysis of multidimensional photoemission data,Python,"[""data_slicer"", ""h5py"", ""igor2"", ""ipywidgets"", ""julia"", ""jupyterlab"", ""jupyterthemes"", ""matplotlib"", ""myst-nb"", ""nbsphinx"", ""numba"", ""numpy"", ""openpyxl"", ""pandas"", ""piva"", ""pydantic"", ""pyqt5"", ""pyqtgraph"", ""pytest"", ""scipy"", ""sphinx"", ""sphinx_rtd_theme"", ""tox"", ""tqdm"", ""typing""]"
"Koopman operator identification library in Python, compatible with `scikit-learn`",Python,"[""Deprecated"", ""PICOS"", ""control"", ""cvxopt"", ""matplotlib"", ""mosek"", ""numpy"", ""optht"", ""pandas"", ""pytest"", ""pytest-regressions"", ""scikit-learn"", ""scipy"", ""snakeviz"", ""sphinx"", ""sphinx-rtd-theme"", ""types-Deprecated""]"
A Python boilerplate for an IoT node data acquisition system (DAS),Python,"[""click"", ""docstring-parser"", ""filelock"", ""jsonref"", ""mypy"", ""paho-mqtt"", ""psutil"", ""pydantic"", ""pytest"", ""pytest-cov"", ""pytest-order"", ""python-dotenv"", ""ruff"", ""setuptools"", ""tenta"", ""tum-esm-utils"", ""types-psutil"", ""typing-extensions""]"
,,
This repository is a mirror of the main FACILE-RS repository at https://git.opencarp.org/openCARP/FACILE-RS. You can use this mirror to submit pull requests and contribute to the project.,Python,"[""Pillow"", ""PyYaml"", ""bagit"", ""build"", ""cffconvert"", ""coverage"", ""pre-commit"", ""pypandoc"", ""pytest"", ""pytest-cov"", ""python-dotenv"", ""python-frontmatter"", ""python-resize-image"", ""requests"", ""rich"", ""ruff"", ""setuptools"", ""twine""]"
An academic high-order finite-volume solver for the compressible Euler equations and related problems,Jupyter Notebook,[]
The Virtual Engineering repository,Jupyter Notebook,[]
Julia library for decoding time units conforming to the Climate and Forecasting (CF) netCDF conventions.,Julia,[]
